lane,module,symbol,kind,lines,verdict,evidence,callers_src,callers_live,callers_dead_scripts,callers_oneshot,callers_tests,traced,audit
data,data_preparation/dynamic_panel_dataset,standardize_covariates,function,,refactor,"Public, sole caller prepare_dataset; untested in isolation. The (x-mean)/std transform it owns is re-applied inline in models/monte_carlo_forecasting.py:172-174 and :275-277, so the convention now spans two subpackages and its docstring (:481-486) has to say so in prose (dup D5).",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,make_block,function,,refactor,"Public, sole caller prepare_dataset; pure ndarray code, the cleanest cut in the module.",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,select_active_cohort,function,,refactor,"Public, sole caller prepare_dataset. Re-implemented independently at scripts/validate_valendin_lstm.py:98 as `first_seen <= TRAINING_END`, with panel_config.py:227 asserting in a comment that the two are equivalent (dup D3). require_calibration_activity=False is set nowhere, so the filter and its empty-cohort error path are effectively unconditional.",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,prepare_dataset,function,,refactor,"The lane's one public orchestrator; every entry point calls it. 3 of its 24 return keys have no reader anywhere: `""N  ""` (:966 — two trailing spaces in the key literal, so data['N'] raises KeyError, and README.md's quickstart reads exactly that), `""panel""`, `""holdout_panel""`. Reads its config two ways in one body: object attributes at :597-616, then rebinds `config = config.data_config` at :618 and reads a dict thereafter. base_year is taken from training_start (:627), so year_idx — a known_future covariate carried into the holdout — depends on the training window.",studies/analysis[call+import],sc:run_studies[call] nb:Data_integration_LSTM_v2[call] nb:Data_integration_TRANSFORMER_v2[call] nb:Pareto_Datasets[call] nb:Study[call],,sc:verify_transformer_training[call] sc:trace_golden_reachability[call],t:test_golden_end_to_end[call],reached,02
data,data_preparation/pareto_simulation,(module),module,544,refactor,"544 lines, weekly throughout (WEEKS_PER_YEAR at module scope, n_weeks, _PANEL_SCHEMA fixing time_cols=['year','week'], lambda/alpha/beta in week units), and _PANEL_SCHEMA hardcodes id_col='Id'/target_col='Transactions' — the exact strings PanelConfig exists to keep out of module code. start_year=1999 default is the thesis panel's epoch. `_pct` folder labels round to integer percent, so two rates inside one percent overwrite each other (verified: _pct(0.104)==_pct(0.096)=='10'). _auto_study_name uses local datetime.now() while created_at uses UTC, so folder names are not reproducible from config+seed. Alive by the thesis carve-out (the synthetic grid panels behind the grid figures); zero tests for the 544 lines.",studies/pnbd_grid,nb:Pareto_Datasets,,sc:make_grid_figures sc:recheck_season_churn,,0/8 symbols traced,02
data,data_preparation/pareto_simulation,WEEKS_PER_YEAR,constant,,keep,Imported by studies/pnbd_grid.py:42 (with the private _seasonal_weekly_multiplier) so a stored study's seasonal pattern is reconstructed by the same function that generated it. Note scripts/validate_valendin_lstm.py:73 defines its own copy instead of importing this one.,studies/pnbd_grid[import],nb:Pareto_Datasets[read],,,,n/a (class/constant not traced),02
data,data_preparation/pareto_simulation,simulate_pareto_nbd_panel,function,,refactor,"The module's headline documented API (60 lines of docstring) reached only through generate_pnbd_study — the seam is in the wrong place. Duplicates the generative model of scripts/validate_pareto_benchmark.py:37 make_synthetic_elog, whose duplication audit 02 judged partly justified (the validation script needs sub-week event timestamps the vectorised trick structurally cannot produce) — but the shared draws (lambda~Gamma(r,alpha), mu~Gamma(s,beta), tau~Exp(mu)) are written twice with different parameters and acquisition conventions (dup D2). Gated by floor item 2.",,,,,,unreached,02
data,data_preparation/pareto_simulation,generate_pnbd_study,function,,keep,Called by notebooks/Pareto_Datasets.ipynb and studies/pnbd_grid; behind the thesis grid figures (carve-out). Refactor notes: forces id_col='Id'/target_col='Transactions' with no override (:411) while simulate_pareto_nbd_panel accepts both; writes index.csv AND returns the same frame AND a study_config.json restating fields every dataset's config.json already carries (dup D12).,,nb:Pareto_Datasets[call],,,,unreached,02
data,data_preparation/pareto_simulation,list_pnbd_datasets,function,,keep,Called by pnbd_grid and Pareto_Datasets.ipynb. Rebuilds the manifest from per-dataset config.json because index.csv 'may be stale' (:483-484) — two manifests for one study (dup D12).,studies/pnbd_grid[call+import],nb:Pareto_Datasets[call],,,,unreached,02
data,data_preparation/pareto_simulation,load_pnbd_dataset,function,,keep,"No audit ruled on it by name. Mechanical: called by studies/pnbd_grid, notebooks/Pareto_Datasets.ipynb and two one-shot figure scripts; the read side of the carve-out-protected generator.",studies/pnbd_grid[call+import],nb:Pareto_Datasets[call],,sc:make_grid_figures[call] sc:recheck_season_churn[call],,unreached,none
model,models/__init__,(module),module,75,refactor,"75 lines. Its docstring (:19) still calls panelclv.benchmarks 'the non-neural Pareto/NBD comparator' — false since ADR-0004 put the neural Valendin LSTM there, and benchmarks/__init__.py:15-17 says the opposite, so the two docstrings disagree about what benchmarks/ holds. Line 46 advertises 'the short mc_* aliases used throughout the notebooks' for two aliases no notebook mentions.",benchmarks/valendin_lstm evaluation/plot_utils evaluation/segment_analysis studies/analysis studies/runner training/training_utils tuning/optuna_tuning,sc:validate_valendin_lstm nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,sc:main_plot sc:main_plot_covar,sc:trace_golden_reachability,t:test_embedders t:test_golden_end_to_end t:test_imports t:test_losses t:test_studies_analysis,not in trace,03
model,models/__init__,mc_forecast (alias),alias,,keep,"Alias of run_monte_carlo_forecast; used by studies/runner.py:52,:54, three live notebooks and README/PKG-INFO.","studies/runner[call :52,:54]",nb:Data_integration_LSTM_v2[call] nb:Pareto_Datasets[call] nb:Study[call],sc:main_plot[call],,t:test_imports[identity assert],n/a (class/constant not traced),03
model,models/__init__,mc_forecast_transformer (alias),alias,,keep,Alias of run_monte_carlo_forecast_transformer; used by studies/runner.py:53 and the Transformer notebook.,studies/runner[call :53],nb:Data_integration_TRANSFORMER_v2[call] nb:Study[call :30],,,,n/a (class/constant not traced),03
model,models/__init__,mc_compute_metrics (alias),alias,,keep,"Alias of compute_forecast_metrics; used by studies/runner.py:144,:216, studies/analysis.py:880,:904 and tests.","studies/runner[call :144,:216] studies/analysis[call :904]",nb:Data_integration_LSTM_v2[call] nb:Study[call],,,t:test_imports[call] t:test_studies_analysis[call],n/a (class/constant not traced),03
model,models/__init__,mc_simulate_one_path (alias),alias,,kill,"Zero importers anywhere — src, entry points, tests, live notebooks and notebooks/archive all checked. The docstring claim that the mc_* aliases are 'used throughout the notebooks' is verified false for this one.",,,,,,n/a (class/constant not traced),03
model,models/__init__,mc_simulate_transformer_path (alias),alias,,kill,Same as above: zero importers anywhere.,,,,,,n/a (class/constant not traced),03
model,models/embedders,(module),module,248,keep,"248 lines, well covered by tests/test_embedders.py (290 lines: both strategies, shapes, covariate rejection, state-dict round-trip). ADR-0005's seam. Note the private _emb_size is imported across modules by tests/test_embedders.py:17 — a misplaced seam one severity below pareto_simulation's.",benchmarks/valendin_lstm models/__init__ models/multinomial_lstm models/multinomial_transformer tuning/optuna_tuning,,,sc:trace_golden_reachability,t:test_embedders t:test_golden_end_to_end,7/7 symbols traced,03
model,models/embedders,Embedder,class,,refactor,"Exported in models.__all__ and named by ADR-0005 as the seam, yet unusable: `output_dim: int` is a bare annotation (:65) and there is no forward. Verified — Embedder(...)(x) -> NotImplementedError; MultinomialLSTMModel(embedder=Embedder(...)) -> AttributeError: no attribute 'output_dim'. An ABC in intent, not in declaration, on the headline surface.",models/__init__[import] models/multinomial_lstm[import] models/multinomial_transformer[import],,,,,n/a (class/constant not traced),03
model,models/embedders,ProjectedEmbedder,class,,keep,"No audit ruled on it by name. Mechanical: the default embedder — built by tuning/optuna_tuning, the golden test and tests/test_embedders; the strategy every live run uses.",models/__init__[import] tuning/optuna_tuning[call+import],,sc:main_plot[call+import] sc:main_plot_covar[call+import],sc:trace_golden_reachability[call+import],t:test_embedders[call+import] t:test_golden_end_to_end[call+import],n/a (class/constant not traced),none
model,models/embedders,ValendinEmbedder,class,,keep,"Frozen by ADR-0004; used by benchmarks/valendin_lstm. Its docstring documents the paper's banking panel ('52 weeks and the transaction-count classes', :204-206) — a dataset fact in a docstring that governs head width. Recorded, not a defect.",benchmarks/valendin_lstm[call+import] models/__init__[import],,,,t:test_embedders[call+import],n/a (class/constant not traced),03
model,models/losses,(module),module,202,refactor,"202 lines, 3 of 4 build_criterion branches never selected by any run in the repo's history (verified across every live entry point, every archived notebook, all 6 archived study folders, optuna_summaries/, Fine_tuning_optuna/, FOR_ANALYSIS/, figures/, inputs_configs/). ~95 lines plus one Optuna search branch serving three never-taken strings. Only compute_class_weights is tested.",models/__init__ training/training_utils,,,,t:test_losses,1/5 symbols traced,03
model,models/losses,FocalLoss,class,,kill,"Reachable only through build_criterion's `focal` branch; loss_type is the literal 'cross_entropy' at every site in the repo that supplies it (audit 03 enumerated them all: 6 live entry points, 3 archived notebooks, 4 defaults). No stored artefact names another loss. Thesis carve-out does not apply — nothing it produced is in figures/, Studies/ or FOR_ANALYSIS/. Functional, not rotted (verified focal -> 1.8868), and untested.",models/__init__[import],,,,,n/a (class/constant not traced),03
model,models/losses,SquaredEMDLoss,class,,kill,Same evidence as FocalLoss: only reachable via the never-taken `emd` branch (verified emd -> 1.2487); untested; no carve-out.,models/__init__[import],,,,,n/a (class/constant not traced),03
model,models/losses,compute_class_weights,function,,kill-candidate,"CONFLICT-BEARING (see C4). Called by two live notebooks and covered by tests/test_losses.py, but with loss_type='cross_entropy' build_criterion:186 returns a plain nn.CrossEntropyLoss() and never touches the tensor — the notebooks' own comment says 'harmless for cross_entropy'. Audit 03 §1 rules it 'live callers, no live consumer'; audit 03's conclusion extends the kill verdict to it. Killing it edits two live notebooks (map's notebook rule).",models/__init__[import],nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[call+import] nb:Pareto_Datasets[import] nb:Study[import],,,t:test_losses[call+import],unreached,03
model,models/losses,build_criterion,function,,refactor,Live but only from training/training_utils (lane-internal). Keep the cross_entropy branch; the focal/emd/weighted_ce branches and focal_gamma (plus the optuna_tuning.py:874-886 focal_gamma search) have never been selected. weighted_ce is the only branch that would consume class_weights.,models/__init__[import] training/training_utils[call+import],,,,,reached,03
model,models/monte_carlo_forecasting,(module),module,619,refactor,"619 lines and the ADR-0002 breach: :322-324 lazily imports save_predictions_to_csv from evaluation.plot_utils with a comment admitting a top-level import would be circular. 21 byte-identical preamble lines between the two steppers plus a verbatim AR update block; 3 of 8 forecast keys unread; _run_monte_carlo:375-378 seeds the GLOBAL torch RNG (verified: a seeded forecast permanently moves torch.rand), so notebook cell order becomes part of the result — against CLAUDE.md priority 2. No unit test; only the LSTM path is exercised (by the golden test).",evaluation/plot_utils evaluation/segment_analysis models/__init__ tuning/optuna_tuning,sc:validate_valendin_lstm,,sc:trace_golden_reachability,t:test_golden_end_to_end,8/10 symbols traced,03
model,models/monte_carlo_forecasting,simulate_one_path,function,,refactor,"Public, sole caller run_monte_carlo_forecast. Shares 21 byte-identical lines with simulate_transformer_path (:129-153 vs :227-252 differ only in comments) plus an identical AR restandardize block (dup D9). Its mc_simulate_one_path alias is dead.",models/__init__[import],,,,,reached,03
model,models/monte_carlo_forecasting,simulate_transformer_path,function,,refactor,"Public, sole caller run_monte_carlo_forecast_transformer; same duplication. Appears in zero test files — the growing-window rollout behind every Transformer number in the thesis is exercised only by the tracer script.",models/__init__[import],,,,,reached,03
model,models/monte_carlo_forecasting,run_monte_carlo_forecast,function,,keep,"Canonical LSTM/Valendin rollout: optuna_tuning:605,628, runner._FORECASTERS, validate_valendin_lstm.py:231, notebooks, golden test. Refactor pressure is the stepper-pairing question (audit 03 options A-D): plot_utils.py:37 rebinds it as a third name `_mc_forecast`, and plot_utils.forecast_from_checkpoint:585-608 calls it for whatever model the factory built — the silent miscrossing.",evaluation/plot_utils[import] models/__init__[import] tuning/optuna_tuning[import],sc:validate_valendin_lstm[call+import],,sc:trace_golden_reachability[import],t:test_golden_end_to_end[call+import] t:test_imports[import],reached,03
model,models/monte_carlo_forecasting,run_monte_carlo_forecast_transformer,function,,keep,"The growing-window rollout; optuna_tuning:618, runner._FORECASTERS, Transformer notebook. Crossing it with an LSTM inference model raises TypeError; the reverse crossing is silent — verified: same weights and seed, totals 32.24 vs 32.06, allclose False.",models/__init__[import] tuning/optuna_tuning[import],,,sc:trace_golden_reachability[import],,reached,03
model,models/monte_carlo_forecasting,compute_forecast_metrics,function,,keep,"The scoring authority (rmse, bias_percent, mape_aggregate_style) — verified numerically to reproduce all nine stored results.csv values on an archived suite. Two caveats for ticket 08: the key is `mape_aggregate_style` while CLAUDE.md says `mape_aggregate` (the key is on-disk, so the doc is wrong), and tuning recomputes all three itself (see conflict C2 / dup D8).",evaluation/plot_utils[call+import] evaluation/segment_analysis[call+import] models/__init__[import],sc:validate_valendin_lstm[call+import],,sc:trace_golden_reachability[call+import],t:test_golden_end_to_end[call+import],reached,03/04
model,models/multinomial_lstm,(module),module,211,refactor,"211 lines. Hoists seq_cols/target_col/num_target_classes onto both wrappers (:163-165, :203-205) under the comment 'Hoist commonly accessed fields for convenience' — an access pattern that no longer exists (the simulator reads data['seq_cols']). InferenceMultinomialLSTMModel.forward:207-211 is one of three identical softmax->Categorical->sample heads. Covered only incidentally (test_embedders builds it; the golden test trains it).",models/__init__ tuning/optuna_tuning,,,,t:test_golden_end_to_end,6/6 symbols traced,03
model,models/multinomial_lstm,MultinomialLSTMModel,class,,keep,"The primary developed architecture; built by the tuning registry, trained by every live LSTM run.",models/__init__[import] tuning/optuna_tuning[call+import],nb:Data_integration_LSTM_v2[import] nb:Pareto_Datasets[import] nb:Study[import],,,t:test_embedders[call+import] t:test_golden_end_to_end[import] t:test_imports[import],n/a (class/constant not traced),03
model,models/multinomial_lstm,InferenceMultinomialLSTMModel,class,,keep,The sampling twin loaded from the trained state_dict; sole consumer of the recurrent stepper.,models/__init__[import] tuning/optuna_tuning[call+import],nb:Data_integration_LSTM_v2[import] nb:Pareto_Datasets[import] nb:Study[import],sc:main_plot[call+import],,t:test_embedders[call+import] t:test_golden_end_to_end[import] t:test_imports[import],n/a (class/constant not traced),03
model,models/multinomial_transformer,(module),module,305,refactor,"305 lines. `_cached_mask` is registered persistent=False and appears in 0 of the 108 stored transformer checkpoints (verified), yet three state.pop('_cached_mask') guards exist to strip it (experiment_utils:223, training_utils:426, optuna_tuning:808) and one claims a legacy reason the disk contradicts. Verified the cached path is numerically identical to recomputing the mask, so the knob buys one torch.triu per forward. _seq_len_hint (:294) is assigned and never read. The whole Transformer rollout has zero test coverage.",models/__init__ tuning/optuna_tuning,,,sc:trace_golden_reachability,,9/9 symbols traced,03
model,models/multinomial_transformer,SinePositionalEncoding,class,,refactor,"Public, sole caller _MultinomialTransformerBackbone.__init__ — over-exposed.",,,,,,n/a (class/constant not traced),03
model,models/multinomial_transformer,MultinomialTransformerModel,class,,keep,"The second developed architecture. Over-parameterisation to weigh: seq_len + _cached_mask + _cached_seq_len + persistent=False + three pop guards, for one triu per forward. nhead=8/d_model=64 defaults are always overridden by Optuna.",models/__init__[import] tuning/optuna_tuning[call+import],nb:Data_integration_TRANSFORMER_v2[import],,sc:trace_golden_reachability[import],t:test_embedders[call+import],n/a (class/constant not traced),03
model,models/multinomial_transformer,InferenceMultinomialTransformerModel,class,,keep,"The Transformer sampling twin. Its forward accepts state=None 'for API parity with the LSTM' (:299) and ignores it — this is precisely what makes the wrong stepper crossing silent instead of a TypeError. seq_len is accepted, stored as _seq_len_hint and never read; audit 03 says 'passed by two callers', but one is the dead main_plot_covar.py:96, so the live count is one (optuna_tuning.py:531) — see conflict C8.",models/__init__[import] tuning/optuna_tuning[call+import],nb:Data_integration_TRANSFORMER_v2[import],sc:main_plot[call+import] sc:main_plot_covar[call+import],sc:trace_golden_reachability[import],,n/a (class/constant not traced),03
model,benchmarks/__init__,(module),module,55,keep,"55 lines; lazy __getattr__ so importing benchmarks does not pull torch (ADR-0004). Docstring correct about its own contents, unlike models/__init__'s description of it.",evaluation/plot_utils studies/runner tuning/optuna_tuning,sc:validate_pareto_benchmark sc:validate_valendin_lstm,sc:main_plot,sc:trace_golden_reachability,t:test_imports t:test_valendin_lstm,1/2 symbols traced,03
model,benchmarks/pareto_benchmark,(module),module,351,keep,"351 lines, floor item 2 — the frozen Pareto/NBD comparator, gated by scripts/validate_pareto_benchmark.py against R's BTYDplus. Refactor notes (recorded, not to be acted on lightly): compute_pareto_predictions hardcodes the whole panel schema as defaults (id_col='Id', target_col='Transactions', time_col='period_start', period_in_days=7.0, :282-285); _build_cbs divides days by period_in_days (:105-106) so a monthly panel inherits a 30-day approximation, and T_cal is floored at one such period (:110); param_init is never overridden; no test in tests/ at all (its gate needs an R install, so an ordinary pytest run says nothing about the Gibbs sampler).",benchmarks/__init__,,,,,7/7 symbols traced,03
model,benchmarks/pareto_benchmark,compute_pareto_predictions,function,,keep,"The benchmark's single entry point: studies/runner:194, evaluation/plot_utils._pareto_from_data, scripts/validate_pareto_benchmark.py. customer_ids reordering is genuinely exercised (runner:203).",benchmarks/__init__[import] evaluation/plot_utils[call+import] studies/runner[call+import],sc:validate_pareto_benchmark[call+import],sc:main_plot[call+import],sc:trace_golden_reachability[call+import],t:test_imports[import],reached,03
model,benchmarks/valendin_lstm,(module),module,183,keep,"183 lines, floor item 2 — parameter counts pinned against the paper's model.summary() by tests/test_valendin_lstm.py. Refactor notes: memory_units/dense_units are constructor knobs never overridden, and tests/test_model_registration.py:135-148 exists to assert Optuna must NOT search them; InferenceValendinLSTMModel.forward:179-183 is a third copy of the sampling head, which ADR-0004 counts as shared infrastructure rather than architecture (dup D10).",benchmarks/__init__ tuning/optuna_tuning,sc:validate_valendin_lstm,,,t:test_valendin_lstm,6/6 symbols traced,03
model,benchmarks/valendin_lstm,ValendinLSTMModel,class,,keep,The Valendin et al. reference model; built by the tuning registry and by scripts/validate_valendin_lstm.py.,benchmarks/__init__[import] tuning/optuna_tuning[call+import],sc:validate_valendin_lstm[call+import],,sc:trace_golden_reachability[import],t:test_valendin_lstm[call+import],n/a (class/constant not traced),03
model,benchmarks/valendin_lstm,InferenceValendinLSTMModel,class,,keep,Its sampling twin; driven by run_monte_carlo_forecast (recurrent stepper) via _FORECASTERS['valendin_lstm'].,benchmarks/__init__[import] tuning/optuna_tuning[call+import],sc:validate_valendin_lstm[call+import],,sc:trace_golden_reachability[import],t:test_valendin_lstm[call+import],n/a (class/constant not traced),03
model,training/__init__,(module),module,24,keep,"24 lines, 5 exports, all reachable; docstring accurate.",experiments/experiment_utils tuning/optuna_tuning,sc:validate_valendin_lstm nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,,sc:verify_transformer_training sc:trace_golden_reachability,t:test_golden_end_to_end t:test_imports,not in trace,03
model,training/training_utils,(module),module,473,refactor,"473 lines, no dedicated test — nothing tests early stopping, the best_state-is-None fallback (:343-346), val_score_start slicing, the Optuna pruning hook, or refit_full_calibration (the warm-start step producing the weights every prediction_source='refit' forecast uses). Three knobs are never exercised: log_wandb (never True — the lazy import, per-epoch log and artifact upload with its bare `except Exception: pass` are all unrun), validate_targets (never False, so min()/max() run on every batch of every epoch — two device->host syncs per batch to recheck an invariant prepare_dataset established), compute_f1 (never passed; every validation epoch concatenates predictions to CPU and calls sklearn f1_score, this lane's only sklearn dependency, for a number nobody reads).",experiments/experiment_utils training/__init__ tuning/optuna_tuning,sc:validate_valendin_lstm,,,,5/6 symbols traced,03
model,training/training_utils,FitResult,class,,refactor,"best_val_f1 is computed every epoch and read nowhere — grepped across src/, all live entry points, tests/ and the four notebooks' sources and stored outputs. history is read only by scripts/verify_transformer_training.py, a one-shot (not a caller by the map's rule). refit_full_calibration returns a FitResult whose best_val_loss/best_val_f1 are NaN and best_epoch synthetic, and its caller reads one of the five fields.",training/__init__[import],,,,,n/a (class/constant not traced),03
model,training/training_utils,train_one_epoch,function,,refactor,"Public and exported by training/__init__, but called only intra-module (fit_model, refit_full_calibration) — over-exposed.",training/__init__[import],,,,,reached,03
